temperature,humidity,wind_speed,solar_radiation,peak_hour_indicator,daily_units,monthly_units
-1.82,33.15,13.81,78.24,17,10.64,319.29
23.91,25.39,14.53,788.12,16,12.41,372.44
-3.81,68.73,8.11,835.49,8,7.14,214.06
21.36,46.8,6.87,162.65,17,11.83,354.91
37.31,77.53,14.18,854.35,8,9.52,285.61
20.9,66.17,10.1,686.77,17,12.54,376.23
12.47,75.74,0.97,520.08,9,7.83,234.92
23.95,39.04,6.99,830.25,12,10.46,313.89
15.62,68.47,3.6,419.25,19,13.66,409.94
19.55,38.48,7.05,193.99,4,4.7,140.93
37.37,85.73,6.83,284.85,21,15.22,456.69
12.37,64.55,8.73,505.16,22,14.6,438.01
38.25,42.72,5.35,531.33,11,9.65,289.36
35.74,38.87,2.46,805.58,4,6.31,189.23
3.81,33.36,7.56,791.35,14,9.5,285.15
-1.88,68.62,12.45,581.37,14,10.19,305.7
-0.46,35.31,9.96,780.79,6,5.53,166.03
-4.18,61.67,5.08,191.77,17,10.72,321.61
-0.75,38.52,14.03,50.06,2,2.8,83.95
25.74,66.34,13.68,873.63,8,8.83,264.77
-1.8,77.05,3.14,75.55,4,5.1,153.12
9.35,74.46,0.59,246.69,10,8.05,241.51
33.02,73.26,11.12,695.32,7,9.02,270.64
-3.95,33.14,12.41,409.45,4,4.59,137.71
31.65,26.19,14.52,876.31,16,12.87,386.11
7.68,68.93,13.35,297.98,14,10.75,322.54
0.32,45.78,9.01,11.87,16,10.37,311.2
26.35,50.26,7.95,300.66,9,8.72,261.56
23.3,22.18,0.42,578.08,4,4.77,143.25
34.49,38.17,3.7,375.94,24,15.94,478.12
28.08,22.36,6.89,534.87,6,7.08,212.46
31.16,81.54,9.43,876.6,1,6.12,183.53
7.69,37.04,8.36,912.49,7,7.25,217.52
2.98,59.01,11.14,265.97,1,3.71,111.28
28.78,22.73,4.2,462.14,19,13.36,400.69
31.31,66.68,8.47,549.14,8,8.91,267.27
39.57,42.61,1.32,949.11,3,6.58,197.4
13.57,82.85,6.2,998.62,1,5.04,151.3
11.74,82.17,11.25,235.41,1,4.73,141.83
29.94,42.77,10.4,726.98,7,8.22,246.49
10.34,83.07,14.86,378.03,21,14.85,445.38
36.88,89.73,4.17,8.11,13,11.44,343.35
33.63,77.78,7.47,9.25,1,4.78,143.25
14.3,79.14,4.94,460.57,16,11.44,343.28
28.79,37.43,6.61,488.33,22,15.31,459.31
28.95,60.37,12.85,22.57,22,15.15,454.48
-0.36,24.71,10.26,686.93,14,9.27,278.07
35.61,26.64,13.24,294.0,4,5.65,169.62
17.74,89.92,3.05,559.89,23,16.17,484.99
32.19,42.86,13.1,300.92,23,16.0,479.92
9.4,72.37,0.9,167.13,12,9.43,282.78
35.3,76.47,13.33,407.17,12,11.25,337.39
12.51,80.06,4.94,232.27,17,11.97,359.2
-4.51,89.83,4.72,534.8,21,13.55,406.55
35.74,36.9,7.68,198.83,15,10.96,328.89
-0.89,22.82,14.11,508.41,10,7.68,230.32
9.37,48.78,0.72,157.38,3,3.71,111.31
37.75,29.11,5.28,670.97,23,15.93,477.9
37.78,21.57,12.85,753.94,20,14.46,433.91
20.8,45.23,5.94,110.39,20,13.26,397.8
23.43,74.86,2.99,467.8,12,10.65,319.59
15.18,59.63,6.37,70.87,1,3.25,97.36
8.19,41.89,5.78,598.18,1,3.79,113.78
9.79,65.8,13.73,264.4,10,8.03,241.02
25.26,36.24,11.43,527.62,18,12.4,371.9
28.86,21.01,7.58,517.46,15,11.04,331.13
30.62,73.5,14.83,924.35,2,5.93,178.0
30.53,63.66,6.98,549.08,17,13.35,400.42
-0.9,73.36,0.87,583.0,8,7.06,211.84
17.25,22.73,3.93,401.65,22,13.37,400.97
-2.41,78.6,6.54,949.08,22,14.14,424.12
19.73,63.37,2.35,777.19,9,8.71,261.43
14.87,59.44,14.21,285.41,21,14.45,433.5
34.95,63.72,11.5,844.21,20,15.15,454.47
10.79,80.51,4.02,432.4,11,9.26,277.72
0.27,61.09,8.86,828.67,6,6.63,198.88
1.43,60.67,10.82,822.89,24,15.54,466.29
29.27,89.35,14.12,188.87,14,11.59,347.63
22.82,72.97,13.22,701.14,1,5.31,159.34
-0.45,50.96,7.73,290.64,7,6.15,184.42
-1.22,69.52,11.62,297.49,24,15.21,456.29
26.54,47.25,8.43,296.35,9,8.44,253.27
-1.73,36.02,8.29,725.57,11,8.58,257.33
31.98,61.78,1.72,229.83,24,15.81,474.41
26.78,84.97,1.89,0.91,23,16.05,481.42
-1.34,85.04,7.94,715.24,16,11.63,348.77
-1.18,43.93,4.03,171.18,19,11.78,353.51
39.4,56.94,0.32,104.48,2,4.82,144.66
11.84,34.81,10.84,237.52,15,10.23,306.95
11.68,89.69,0.49,379.9,3,5.54,166.25
31.58,88.68,8.93,475.91,4,7.3,219.09
37.63,65.47,8.09,44.57,20,14.02,420.54
39.37,76.31,14.53,970.57,22,16.95,508.43
28.9,70.06,7.26,716.06,7,7.87,236.05
11.93,61.52,0.95,323.19,12,9.67,290.24
-1.24,23.73,8.28,318.7,4,4.38,131.3
29.97,51.83,12.62,448.54,10,8.88,266.5
20.13,67.24,14.95,626.24,6,7.78,233.54
14.09,67.43,6.46,146.37,22,14.81,444.38
35.79,46.12,4.8,188.93,14,10.9,326.95
0.0,85.92,13.6,859.43,3,5.71,171.16
17.17,31.71,2.87,256.25,17,11.28,338.31
-4.49,55.03,9.23,380.19,11,8.19,245.65
16.09,68.36,6.09,871.27,10,9.07,271.98
-2.47,68.8,0.62,663.15,21,13.26,397.71
0.35,65.4,5.21,341.71,10,7.75,232.44
0.29,39.27,3.98,683.7,10,7.25,217.45
24.21,30.93,10.29,19.68,3,4.99,149.67
28.57,64.52,14.23,735.64,24,16.73,501.91
21.25,61.95,4.02,487.02,15,11.31,339.28
38.3,32.55,12.17,813.18,17,13.64,409.15
11.87,69.36,0.83,954.64,18,12.96,388.7
7.86,51.86,8.07,925.79,19,13.14,394.27
34.09,66.74,1.06,909.27,19,14.94,448.1
5.06,78.62,14.01,512.17,12,10.14,304.34
38.35,31.88,11.5,360.14,24,15.93,477.88
-4.45,21.34,9.87,465.04,5,4.44,133.15
38.64,74.54,12.36,689.9,24,17.95,538.65
-3.06,62.68,9.71,884.0,16,11.15,334.45
35.1,68.97,14.53,206.99,15,12.15,364.47
18.75,78.67,10.71,918.19,15,11.95,358.36
39.68,76.2,13.87,815.18,6,8.35,250.61
-1.68,87.26,7.76,978.86,12,10.11,303.4
19.92,57.52,1.76,880.25,2,5.35,160.48
38.62,54.19,7.92,279.94,20,15.0,450.04
18.54,48.13,1.9,105.96,9,7.83,234.78
23.32,30.76,8.89,112.24,4,4.9,147.11
26.31,60.08,7.24,291.22,5,6.07,181.97
15.45,39.39,9.34,614.18,21,14.44,433.21
23.24,84.49,0.15,804.32,8,8.5,255.03
21.29,60.82,2.92,899.25,22,15.08,452.4
35.55,61.5,7.37,623.75,10,10.26,307.75
-2.95,44.84,14.26,5.63,7,5.77,173.03
7.64,23.64,5.75,186.32,22,12.93,387.86
37.77,22.22,6.37,99.73,14,11.01,330.38
35.06,49.63,10.72,363.32,5,7.42,222.72
15.5,25.92,9.06,501.35,16,10.65,319.6
22.91,62.48,4.48,43.4,15,11.44,343.05
7.48,81.67,6.16,348.48,5,5.93,177.94
3.47,81.8,3.27,179.18,3,4.61,138.32
15.87,66.13,14.49,647.07,23,16.11,483.38
10.9,34.79,1.96,464.27,10,8.24,247.12
21.26,80.41,5.58,495.32,5,6.6,197.89
-1.5,82.03,0.39,427.69,23,14.22,426.53
38.85,33.77,3.33,956.02,15,11.75,352.62
39.38,71.62,11.71,214.74,18,14.03,420.87
26.42,40.06,3.02,516.66,8,7.24,217.28
19.12,76.18,1.2,736.02,21,14.66,439.92
8.93,89.81,7.12,556.84,2,4.59,137.59
31.62,22.1,0.15,929.02,22,14.86,445.85
25.81,82.82,1.27,377.97,8,7.9,237.09
2.32,63.58,12.11,463.68,23,15.05,451.5
35.99,88.14,11.57,88.52,8,8.71,261.23
32.01,52.55,13.73,609.0,4,6.5,195.03
37.74,79.32,12.82,288.21,19,15.02,450.49
27.66,24.37,10.25,160.31,23,15.08,452.53
22.6,43.47,0.78,544.53,18,12.29,368.6
13.82,24.69,11.74,532.31,21,13.14,394.24
36.97,88.27,12.68,75.87,23,16.79,503.58
33.97,77.19,11.99,698.22,1,5.69,170.73
-2.97,79.68,7.63,623.77,20,13.56,406.92
-3.81,85.66,3.49,189.02,15,10.26,307.85
11.94,25.96,12.68,469.43,18,11.81,354.36
31.47,46.99,10.91,720.32,22,15.51,465.37
39.43,24.97,14.71,529.44,12,10.69,320.7
1.77,34.76,2.34,395.49,1,3.15,94.54
21.74,36.06,3.38,322.34,7,6.28,188.45
12.14,52.84,3.18,610.39,19,12.89,386.81
38.65,38.8,11.89,939.11,1,5.04,151.11
32.9,27.07,2.8,671.74,24,15.91,477.31
32.72,31.72,1.0,74.75,7,7.26,217.82
16.09,30.31,14.98,460.68,2,4.18,125.47
13.67,88.12,0.37,890.82,7,8.28,248.4
7.3,73.15,12.53,94.46,19,12.93,387.87
-2.46,87.74,5.48,988.88,13,10.72,321.57
33.91,50.78,12.62,949.07,24,17.3,518.89
31.58,39.49,8.32,78.27,5,5.8,174.0
39.99,75.88,13.52,933.41,23,17.09,512.62
